"attribute_code","frontend_label","frontend_input","is_visible_on_front","is_user_defined","is_required"
"1_ausgangsspannung","1. Ausgangsspannung","select","1","1","0"
"1_ausgangsspannung_bei_ac","1. Ausgangsspannung bei AC","select","1","1","0"
"1_ausgangsspannung_bei_dc","1. Ausgangsspannung bei DC","select","1","1","0"
"1_phasen_ueberstrom_moeglich","1-Phasen-Überstrom möglich","select","1","1","0"
"1_phasen_unterspannung_moeglic","1-Phasen-Unterspannung möglich","select","1","1","0"
"360_sockel","360° Sockel","select","1","1","0"
"7_stellige_mitegronummer","","text","1","1","0"
"8_stellige_mitegronummer","","text","1","1","0"
"abbiegung_winkel","Abbiegung (Winkel)","select","1","1","0"
"abbrechklingen","Abbrechklingen","select","1","1","0"
"abisolierbereich_durchmesser","Abisolierbereich Durchmesser","select","1","1","0"
"abisolierbereich_querschnitt","Abisolierbereich Querschnitt","select","1","1","0"
"abisolierlaenge_einstellbar","Abisolierlänge einstellbar","select","1","1","0"
"abmessungen","Abmessungen","select","1","1","0"
"abmessungen_der_feinsicherung","Abmessungen der Feinsicherung","select","1","1","0"
"absaugfunktion","Absaugfunktion","select","1","1","0"
"abschaltautomatik","Abschaltautomatik","select","1","1","0"
"abschliessbar","Abschließbar","select","1","1","0"
"absicherung","Absicherung","select","1","1","0"
"ader_isolation","Ader-Isolation","select","1","1","0"
"ader_zahl","Ader-Zahl","select","1","1","0"
"aderquerschnitt","Aderquerschnitt","select","1","1","0"
"akkubeschaffenheit","Akkubeschaffenheit","select","1","1","0"
"akkukapazitaet","Akkukapazität","select","1","1","0"
"al_nennquerschnitt","Al-Nennquerschnitt","select","1","1","0"
"amazon_preparation_time","Amazon Preparation Time","text","1","1","0"
"amz_price","Amazon Price","price","1","1","0"
"analog_anschluss","Analog-Anschluss","select","1","1","0"
"analogeingang","Analogeingang","select","1","1","0"
"anbaumoeglichkeit","Anbaumöglichkeit","select","1","1","0"
"anfangswert_des_unverzoegerten","Anfangswert des unverzögerten Kurzschlussauslöser-Einstellbereiches","select","1","1","0"
"anfangswert_skala","Anfangswert Skala","select","1","1","0"
"angegebener_messbereich","Angegebener Messbereich","select","1","1","0"
"anheizzeit","Anheizzeit","select","1","1","0"
"anreihbar","Anreihbar","select","1","1","0"
"anrufbeantworter","Anrufbeantworter","select","1","1","0"
"anschl_leitqschnitt_eindraht","Anschließbarer Leiterquerschnitt eindrähtig","select","1","1","0"
"anschl_leitqschnitt_mehrdraht","Anschließbarer Leiterquerschnitt mehrdrähtig","select","1","1","0"
"anschluss","Anschluss","select","1","1","0"
"anschlussart","Anschlussart","select","1","1","0"
"anschlussart_hauptstromkreis","Anschlussart Hauptstromkreis","select","1","1","0"
"anschlussart_hilfsstromkreis","Anschlussart Hilfsstromkreis","select","1","1","0"
"anschlussgewinde_m","Anschlussgewinde M","select","1","1","0"
