"sku","attribute_set","product_type","product_websites","name","description"
100003,"Kabel_Aderleitungen","simple","base","YSE 0,5 GR PVC-ADERLTG H05V-U0,5GR","YSE 0,5 GR PVC-ADERLTG H05V-U0,5GR"
100004,"Kabel_Aderleitungen","simple","base","YSE 1 BL PVC-ADERLTG H05V-U1BL","YSE 1 BL PVC-ADERLTG H05V-U1BL"
100051,"Kabel_Aderleitungen","simple","base","YE 2,5 GR PVC-ADERLTG H07V-U2,5GR KTN","YE 2,5 GR PVC-ADERLTG H07V-U2,5GR KTN"
100233,"Kabel_Aderleitungen","simple","base","YF 6 GG PVC-ADERLTG H07V-K6GG","Aderleitung"
100381,"Kabel_Flachleitungen","simple","base","YZWL 2X0,75 BR PVC-ZWILLINGSLT H03VH-H2X0,75BR","Zwillingsleitung"
101026,"Kabel_Steuerleitungen","simple","base","PVC STEUERLEITUNG YSLCY-JZ7X1,5","PVC-Steuerleitung Uo=300/U=500V mit Kupferabschirmung - VERWENDUNG: Als abgeschirmte Signal und Impulsleitung in der Mess, Steuer- und Regeltechnik, wobei die Abschirmung als Schutz gegen äußere Einflüsse, wie elektrische Magnetfelder, Störfrequenzen o.ä., dient."
101672,"Kabel_Starkstromkabel","simple","base","ENERGIEKABEL CU E-YY-J4X16RM","energiekabel-cu-e-yy-j4x16rm"
102947,"Kabel_Datenkabel","simple","base","LAN 600DUP. 2X(4X2XAWG23) PVC OR-S/FTP DATENLTG CAT 7 DUPLEX LAN600 DUPL OR","Datenleitung CAT 7"
102948,"Wohnraumschalter_Meldevorrichtungen","simple","base","Berker 10209 Bewegungsmelder 0-110° Aufputz","Automatik Wächter plus 110 Bewegungsmelder polarweiß - µ-Prozessor gesteuerte Arbeitsweise - digitale Erfassungssignalauswertung - für Wandmontage - drehbar und vertikal schwenkbar - mit Abdeckblenden zur Begrenzung für das Erfassungsfeld - mit 2 Leitungs"
102949,"Steuern_Schütze","simple","base","Berker 123 Überspannungsbegrenzer RC-Löschglied AC","Entstörglied für Wächter Hauselektronik - RC-Glied - 250 V~, 50/60 Hz - 100 Ohm - 0,047 µF - vorkonfektionierte Leitungen ca. 95 mm - Abmessungen (Durchmesser x H) 18 x 37 mm Zur Beschaltung von netzparallelen Induktivitäten (z.B. konventionelle Trafos), wenn diese zur Wiedereinschaltung des Wächters führen."
102962,"Wohnraumschalter_Meldevorrichtungen","simple","base","Berker 15029 Bewegungsmelder Basisteil Aufputz 2300W","Wächter-Systemleistungsteil Ap Bewegungsmelder polarweiß - für den Anschluss von Wächter-Systemsensoren und Wächter-Systemeinsätzen: max. 8 Stück - mit grüner Kontroll-LED - mit Limitabschaltung - mit 2 Leitungseinführungen unten - mit Befestigungsmateria"
102963,"Wohnraumschalter_Meldevorrichtungen","simple","base","Berker 15109 Bewegungsmeldersensor Aufputz 0-180°","Wächter-Systemsensor 180 Bewegungsmelder polarweiß - mit LED-Erfassungsanzeige - für Wandmontage - drehbar und vertikal schwenkbar - mit Aufsteckblende zur Begrenzung des Erfassungsfeldes - Wächter-Systemsensor-Leitung z.B. JY-ST-Y 2x2x0,8 mm - mit 2 Leit"
102964,"Wohnraumschalter_Meldevorrichtungen","simple","base","Berker 15209 Bewegungsmeldersensor Aufputz 0-240°","Wächter-Systemsensor 240 Bewegungsmelder polarweiß - mit Unterkriechschutz - mit LED-Erfassungsanzeige - für Wandmontage - drehbar und vertikal schwenkbar - mit Aufsteckblende zur Begrenzung des Erfassungsfeldes - mit Abdeckblende für Unterkriechschutz -"
102966,"Wohnraumschalter_Meldevorrichtungen","simple","base","Berker 155 Bewegungsmelder Basisteil REG 2300W","Wächter-Systemleistungsteil REG 1 Kanal Bewegungsmelder lichtgrau - mit potenzialfreiem Kontakt - für den Anschluss von Wächter-Systemsensoren und Wächter-Systemeinsätzen: max. 8 Stück - mit Limitabschaltung - mit grüner Kontroll-LED - mit Limitabschaltung - mit Schraubklemmen - 230 V~, 50 Hz - Glüh- und HV-Halogenlampen 2300 W - elektronische Trafos 1200 W - konventionelle Trafos 1200 VA - Leuchtstofflampen in Duo-Schaltung 2300 VA - Leuchtstofflampen unkompensiert 1200 VA - Leuchtstofflampen parallelkompensiert 920 VA - Ansprechhelligkeit einstellbar ca. 3 ... 80 / unendl. Lux - Nachlaufzeit einstellbar ca. 4 Sek. ... 15 Min. - Limitabschaltung nach max. 90 Min. - REG 4 TE Bei EVG´s und Energiesparlampen mit zu hohen Einschaltströmen sind Einschalt-Strombegrenzer Best.-Nr. 0185 zu verwenden. Neutralleiter erforderlich! Schaltet bei unterschrittener Ansprechhelligkeit und Personenbewegung vor den Wächter-Systemsensoren und Wächter 180 Systemaufsätzen für die Dauer der Nachlaufzeit Ein."
102968,"Wohnraumschalter_Meldevorrichtungen","simple","base","Berker 159 Bewegungsmelder Basisteil REG 2300W","Wächter-Systemleistungsteil REG 2 Kanal Bewegungsmelder lichtgrau - mit potenzialfreiem und netzgebundenem Kontakt - für den Anschluss von Wächter-Systemsensoren und Wächter-Systemeinsätzen: max. 2x8 Stück - mit Limitabschaltung - mit grüner Kontroll-LED"
102969,"Steuern_Thermostate & -Zubehör","simple","base","Berker 161 Fußbodenfühler Mit Zuleitung 4m","Fußbodentemperaturfühler / Fernfühler Hauselektronik - für Temperaturregler zeitgesteuert - für Fußbodentemperaturregler (Ersatz) - Fühlerleitungslänge 4 m - bei 25 °C 33 kOhm"
102973,"Wohnraumschalter_Bedienelemente","simple","base","Berker 16701 Tastdimmer 50-500W universal","Universal-Tastdimmer REG Plus Hauselektronik lichtgrau - mit 2 Handtaster (2-Flächenbedienkonzept) für Ein/heller und Aus/dunkler - mit Nebenstelleneingang für BLC Nebenstelle 2-Flächen- und Taster (Schließer) 1-Flächenbedienkonzept - erweiterbar durch Universal-Leistungszusätze REG Plus mit parallelgeschalteter Lastleitung - Einschalthelligkeit netzausfallsicher abspeicherbar - lampenschonender Softanlauf - mit grüner Kontroll-LED - sehr geräuscharm - kurzschlussfest und überlastsicher (elektronische Sicherung) - Phasenan- oder Phasenabschnitt je nach Lastart, selbstlernend - mit Schraubklemmen - 230/240 V~, 50/60 Hz - Glüh- und HV-Halogenlampen 50 ... 500 W - elektronische Trafos 50 ... 500 W - dimmbare konventionelle Trafos 50 ... 500 VA - Universal-Leistungszusätze max. 10 Phasenabschnitt á 500 W - Universal-Leistungszusätze max. 5 Phasenanschnitt á 420 VA - Lastleitungslänge max. 100 m - Steuerleitungslänge max. 100 m - REG 2 TE - Abmessungen (B x H x T) 36 x 90 x 70 mm - Aufbauhöhe ab Hutschiene 63 mm Für störungsfreien Betrieb empfehlen wir Berker Tronic-Trafos. Keine konventionellen Trafos gemeinsam mit elektronischen Trafos anschließen. Beim Betrieb von mehreren Dimmern oder Leistungszusätzen in einem Schaltschrank ist ein Mindestabstand von 1 TE einzuhalten."
102979,"Wohnraumschalter_Bussysteme & -Komponenten","simple","base","Berker 1740109 Bewegungsmelder-Bus Bussystem Funkbus","Funk-Wächter 180 Funkbus polarweiß - netzunabhängig - jeder Kanal kann beliebig vielen Funk-Empfängern zugeordnet werden - mit LED-Erfassungs- und Batteriestatusanzeige - für Wandmontage - drehbar und vertikal schwenkbar - mit Aufsteckblende zur Begrenzung des Erfassungsfeldes - mit Befestigungsmaterial - 9 V= - Lebensdauer alkalische Batterie ca. 3 Jahre - Funk-Kanäle 1 - Funk-Sendefrequenz 433,42 MHz - Funk-Sendeleistung"
