sku,eancode
0121125,4242004162261
102948,4011334000655
102949,4011334190714
102962,4011334218029
102963,4011334155744
102964,4011334155768
102966,4011334166320
102968,4011334167358
102969,4011334218814
102973,4011334279327
102979,4011334259565
102980,4011334200246
103003,4011334241805
103004,4011334241812
103005,4011334241829
103006,4011334241836
103007,4011334149880
103008,4011334149897
103009,4011334149910
103010,4011334239536
103011,4011334239543
103012,4011334239550
103013,4011334239567
103014,4011334294177
103015,4011334294184
103016,4011334294191
103017,4011334294214
103018,4011334186144
103019,4011334165149
103020,4011334239598
103021,4011334239604
103022,4011334239628
103023,4011334239635
103024,4011334242260
103025,4011334239642
103026,4011334165132
103027,4011334201687
103028,4011334201694
103029,4011334201700
103030,4011334201717
103031,4011334284949
103032,4011334284987
103033,4011334284956
103034,4011334239659
103035,4011334242208
103036,4011334239673
103037,4011334318620
103038,4011334239680
103039,4011334254218
103047,4011334239390
103048,4011334239406
103049,4011334239413
103050,4011334239697
103051,4011334239420
103052,4011334239703
103053,4011334239437
103054,4011334239444
103055,4011334239451
103056,4011334239468
103057,4011334239475
103058,4011334239482
103059,4011334239734
103060,4011334239741
103061,4011334239758
103062,4011334239765
103063,4011334239772
103064,4011334239789
103065,4011334239796
103066,4011334239802
103067,4011334239819
103068,4011334239826
103069,4011334239871
103070,4011334239888
103071,4011334239895
103072,4011334239901
103073,4011334239918
103074,4011334239925
103075,4011334239932
103076,4011334053859
103101,4011334154020
103102,4011334155492
103103,4011334155508
103110,4011334250401
103111,4011334250418
103112,4011334250425
103113,4011334250432
103114,4011334286615
103115,4011334286622
103116,4011334286639
103117,4011334286646
103118,4011334286653
103119,4011334286660
103128,4011334240013
103129,4011334240020
103130,4011334240037
103131,4011334240044
103132,4011334240051
103133,4011334240068
103134,4011334240075
103135,4011334240440
103136,4011334240457
103137,4011334240464
103138,4011334240471
103139,4011334240082
103140,4011334240099
103141,4011334240105
103142,4011334240112
103143,4011334240129
103144,4011334240136
103145,4011334240167
103146,4011334240174
103147,4011334240181
103148,4011334240198
103149,4011334240310
103150,4011334240327
103151,4011334240334
103152,4011334240341
103153,4011334285687
103154,4011334286073
103155,4011334240358
103156,4011334240365
103157,4011334240372
103158,4011334286059
103159,4011334240389
103160,4011334286011
103170,4011334240204
103171,4011334240211
103172,4011334240228
