sku,manufacturer
100002,499
100003,499
100004,499
100005,499
100006,499
100007,499
100008,499
100009,499
100010,499
100011,499
100012,499
100013,499
100014,499
100015,499
100017,499
100018,499
100019,499
100020,499
100021,499
100022,499
100023,499
100024,499
100025,499
100026,499
100027,499
100028,499
100029,499
100030,499
100031,499
100032,499
100033,499
100034,499
100035,499
100036,499
100037,499
100038,499
100039,499
100040,499
100041,499
100042,499
100043,499
100044,499
100045,499
100046,499
100047,499
100048,499
100049,499
100050,499
100051,499
100052,499
100053,499
100054,499
100055,499
100056,499
100057,499
100058,499
100059,499
100060,499
100061,499
100062,499
100063,499
100064,499
100065,499
100066,499
100067,499
100068,499
100069,499
100070,499
100071,499
100072,499
100073,499
100074,499
100075,499
100076,499
100077,499
100078,499
100079,499
100080,499
100081,499
100082,499
100083,499
100084,499
100085,499
100086,499
100087,499
100088,499
100089,499
100090,499
100091,499
100092,499
100093,499
100094,499
100095,499
100096,499
100097,499
100098,499
100099,499
100100,499
100101,499
100102,499
100103,499
100104,499
100105,499
100106,499
100107,499
100108,499
100109,499
100110,499
100111,499
100112,499
100113,499
100114,499
100115,499
100116,499
100117,499
100118,499
100119,499
100120,499
100121,499
100122,499
100123,499
100124,499
100125,499
100126,499
100127,499
100128,499
100129,499
100130,499
100131,499
100133,499
100134,499
100135,499
100136,499
100137,499
100138,499
100139,499
100140,499
100141,499
100142,499
100143,499
100144,499
100145,499
100146,499
100147,499
100148,499
100149,499
100150,499
100151,499
100152,499
100153,499
100154,499
100155,499
100157,499
100158,499
100159,499
100160,499
100161,499
100162,499
100163,499
100164,499
100165,499
100166,499
100167,499
100168,499
100169,499
100170,499
100171,499
100172,499
100173,499
100174,499
100175,499
100176,499
100177,499
100178,499
100179,499
100180,499
100181,499
100182,499
100183,499
100184,499
100185,499
100186,499
100187,499
100188,499
100189,499
100190,499
100191,499
100192,499
100193,499
100194,499
100195,499
100196,499
100197,499
100198,499
100199,499
100200,499
100201,499
100202,499
100203,499
100204,499
100205,499
100206,499
100207,499
100208,499
100209,499
100210,499
100211,499
100212,499
100213,499
100214,499
100215,499
100216,499
100217,499
100218,499
100219,499
100220,499
100221,499
100222,499
100223,499
100224,499
100225,499
100226,499
100227,499
100228,499
100229,499
100230,499
100231,499
100232,499
100233,499
100234,499
100235,499
100236,499
100237,499
100238,499
100239,499
100240,499
100241,499
100242,499
100243,499
100244,499
100245,499
100246,499
100247,499
100248,499
100249,499
100250,499
100251,499
100252,499
100253,499
100254,499
100255,499
100256,499
100257,499
100258,499
100259,499
100260,499
100261,499
100262,499
100263,499
100264,499
100265,499
100266,499
100267,499
100316,499
100381,499
100417,499
100418,499
100419,499
100420,499
100623,499
100632,499
100633,499
