sku,qty,is_in_stock
100002,0.0000,1
100003,0.0000,1
100004,1000.0000,1
100005,0.0000,1
100006,0.0000,1
100007,400.0000,1
100008,0.0000,1
100009,0.0000,1
100010,0.0000,1
100011,0.0000,1
100012,0.0000,1
100013,300.0000,1
100014,0.0000,1
100015,0.0000,1
100017,109600.0000,1
100018,0.0000,1
100019,50800.0000,1
100020,0.0000,1
100021,0.0000,1
100022,0.0000,1
100023,1300.0000,1
100024,0.0000,1
100025,105500.0000,1
100026,0.0000,1
100027,1100.0000,1
100028,100.0000,1
100029,58400.0000,1
100030,0.0000,1
100031,35400.0000,1
100032,0.0000,1
100033,0.0000,1
100034,0.0000,1
100035,67900.0000,1
100036,1000.0000,1
100037,12800.0000,1
100038,0.0000,1
100039,51200.0000,1
100040,400.0000,1
100041,21400.0000,1
100042,41290.0000,1
100043,53800.0000,1
100044,0.0000,1
100045,0.0000,1
100046,11200.0000,1
100047,21700.0000,1
100048,0.0000,1
100049,0.0000,1
100050,0.0000,1
100051,7900.0000,1
100052,0.0000,0
100053,0.0000,0
100054,0.0000,1
100055,23700.0000,1
100056,0.0000,1
100057,0.0000,1
100058,0.0000,1
100059,21900.0000,1
100060,11800.0000,1
100061,0.0000,1
100062,0.0000,1
100063,0.0000,1
100064,0.0000,1
100065,0.0000,1
100066,0.0000,1
100067,0.0000,1
100068,1300.0000,1
100069,2800.0000,1
100070,0.0000,1
100071,2500.0000,1
100072,0.0000,1
100073,0.0000,1
100074,1700.0000,1
100075,0.0000,1
100076,1500.0000,1
100077,2500.0000,1
100078,2800.0000,1
100079,0.0000,1
100080,1300.0000,1
100081,0.0000,1
100082,5100.0000,1
100083,5000.0000,1
100084,2400.0000,1
100085,5400.0000,1
100086,1900.0000,1
100087,6800.0000,1
100088,400.0000,1
100089,900.0000,1
100090,0.0000,0
100091,0.0000,1
100092,0.0000,1
100093,3521.0000,1
100094,200.0000,1
100095,1022.0000,1
100096,1102.0000,1
100097,1718.0000,1
100098,0.0000,1
100099,1116.0000,1
100100,559.0000,1
100101,1760.0000,1
100102,1521.0000,1
100103,733.0000,1
100104,0.0000,1
100105,0.0000,1
100106,0.0000,1
100107,0.0000,1
100108,803.0000,1
100109,1010.0000,1
100110,453.0000,1
100111,0.0000,1
100112,0.0000,1
100113,0.0000,1
100114,0.0000,1
100115,0.0000,1
100116,0.0000,1
100117,0.0000,1
100118,0.0000,1
100119,0.0000,1
100120,0.0000,1
100121,0.0000,1
100122,0.0000,1
100123,0.0000,1
100124,0.0000,1
100125,0.0000,1
100126,0.0000,0
100127,0.0000,1
100128,0.0000,1
100129,0.0000,1
100130,900.0000,1
100131,0.0000,0
100133,500.0000,1
100134,0.0000,1
100135,0.0000,1
100136,300.0000,1
100137,0.0000,1
100138,1100.0000,1
100139,0.0000,0
100140,0.0000,0
100142,300.0000,1
100143,0.0000,1
100144,0.0000,0
100145,900.0000,1
100146,1200.0000,1
100147,0.0000,1
100148,600.0000,1
100149,0.0000,1
100150,900.0000,1
100151,0.0000,1
100152,0.0000,1
100153,1100.0000,1
100154,0.0000,1
100155,0.0000,1
100157,0.0000,0
100158,0.0000,1
100159,400.0000,1
100160,0.0000,0
100161,700.0000,1
100162,400.0000,1
100163,400.0000,1
100164,900.0000,1
100165,0.0000,1
100166,1700.0000,1
100167,0.0000,1
100168,0.0000,1
100169,800.0000,1
100170,0.0000,1
100172,0.0000,0
100173,0.0000,0
100175,0.0000,1
100176,0.0000,1
100177,0.0000,1
100178,800.0000,1
100179,1400.0000,1
100180,0.0000,1
100181,1900.0000,1
100182,1800.0000,1
100183,0.0000,0
100184,1600.0000,1
100185,0.0000,0
100186,0.0000,1
100187,0.0000,0
100188,0.0000,1
100189,1800.0000,1
100190,0.0000,1
100191,2000.0000,1
100192,1100.0000,1
100193,1400.0000,1
100194,0.0000,0
100195,0.0000,1
100196,0.0000,0
100197,0.0000,1
100198,900.0000,1
100199,1900.0000,1
100200,0.0000,1
100201,800.0000,1
100202,0.0000,1
100203,0.0000,1
100204,1900.0000,1
100205,0.0000,1
100206,0.0000,1
100207,0.0000,0
100208,0.0000,0
100209,0.0000,1
100210,0.0000,1
100211,0.0000,1
100212,0.0000,0
100213,1200.0000,1
100214,0.0000,1
100215,0.0000,1
100216,1100.0000,1
100217,1700.0000,1
100218,0.0000,1
100219,0.0000,1
100220,1900.0000,1
100221,0.0000,1
100222,0.0000,1
100223,0.0000,0
100224,0.0000,1
100225,0.0000,1
100226,1300.0000,1
100227,0.0000,1
100228,0.0000,1
100229,1500.0000,1
100230,700.0000,1
100231,0.0000,1
100232,0.0000,1
100233,200.0000,1
100234,0.0000,1
100235,0.0000,1
100236,0.0000,0
100237,0.0000,0
100238,0.0000,1
100239,1200.0000,1
100240,0.0000,1
100241,0.0000,1
100242,0.0000,1
100243,0.0000,1
100244,0.0000,1
100245,0.0000,1
100246,0.0000,1
100247,0.0000,1
100248,700.0000,1
100249,0.0000,1
100250,200.0000,1
100251,0.0000,0
100252,0.0000,1
100253,300.0000,1
100254,600.0000,1
100255,0.0000,1
100256,400.0000,1
100257,0.0000,1
100258,0.0000,1
100259,500.0000,1
100260,0.0000,1
100261,0.0000,1
100262,200.0000,1
100263,0.0000,1
100264,0.0000,1
100265,0.0000,1
100266,0.0000,1
100267,0.0000,1
100316,0.0000,1
100381,0.0000,0
100417,0.0000,1
100418,0.0000,1
100419,0.0000,1
100420,0.0000,1
100623,0.0000,1
100632,0.0000,1
100633,0.0000,1
100634,0.0000,1
100635,0.0000,1
100636,0.0000,1
100637,0.0000,1
100728,0.0000,1
100729,0.0000,1
100730,0.0000,1
100731,0.0000,1
100732,0.0000,1
100733,0.0000,1
100734,0.0000,1
100735,0.0000,1
100736,0.0000,1
100737,0.0000,1
100738,0.0000,1
100740,0.0000,1
100741,0.0000,1
100742,0.0000,1
100743,0.0000,1
100744,0.0000,1
100745,0.0000,1
100746,0.0000,1
100747,0.0000,1
100748,0.0000,1
100749,0.0000,1
100750,0.0000,1
100751,0.0000,1
100752,0.0000,1
100753,0.0000,1
100754,0.0000,1
100755,0.0000,1
100756,0.0000,1
100757,0.0000,1
100758,0.0000,1
100759,0.0000,1
100760,0.0000,1
100761,0.0000,1
100762,0.0000,1
100763,0.0000,1
100764,0.0000,1
100765,0.0000,1
100766,0.0000,1
100767,0.0000,1
100768,0.0000,1
100769,0.0000,1
100770,0.0000,1
100811,0.0000,1
100812,0.0000,1
100813,0.0000,1
100814,0.0000,1
100815,0.0000,1
100816,0.0000,1
100817,0.0000,1
100818,0.0000,1
100819,0.0000,1
100820,0.0000,1
100821,0.0000,1
100822,0.0000,1
100823,0.0000,1
100824,0.0000,1
100825,0.0000,0
100826,5.0000,1
100827,0.0000,1
100828,0.0000,1
100829,0.0000,1
100830,928.0000,1
100831,0.0000,1
100832,0.0000,1
100833,0.0000,1
100834,13.0000,1
100836,0.0000,1
100837,1152.0000,1
100838,0.0000,1
100839,0.0000,1
100840,0.0000,1
100841,0.0000,1
100842,0.0000,1
100843,0.0000,1
100844,0.0000,1
100845,0.0000,1
100846,0.0000,0
100847,0.0000,1
100848,0.0000,1
100849,0.0000,1
100850,0.0000,1
100851,0.0000,1
100852,0.0000,1
100853,0.0000,1
100854,0.0000,1
100855,0.0000,1
100856,0.0000,1
100857,0.0000,1
100858,0.0000,1
100859,0.0000,1
100860,0.0000,1
100861,0.0000,1
100862,0.0000,1
100863,0.0000,1
100864,0.0000,1
100865,0.0000,1
100866,0.0000,1
100867,0.0000,1
100868,0.0000,1
100869,0.0000,1
100870,0.0000,1
100871,0.0000,1
100872,0.0000,1
100873,0.0000,1
100874,0.0000,1
100875,0.0000,1
100876,0.0000,1
100877,0.0000,1
100878,0.0000,1
100879,0.0000,1
100880,0.0000,1
100881,200.0000,1
100882,350.0000,1
100883,750.0000,1
100884,200.0000,1
100885,0.0000,1
100886,0.0000,1
100887,0.0000,1
100888,0.0000,0
100889,0.0000,1
100890,0.0000,1
100891,0.0000,1
100892,0.0000,1
100893,0.0000,1
100894,0.0000,1
100895,0.0000,1
100896,350.0000,1
100897,0.0000,1
100898,700.0000,1
100899,0.0000,1
100900,0.0000,1
100901,0.0000,1
100902,0.0000,1
100903,0.0000,1
100904,0.0000,1
100905,0.0000,1
100906,0.0000,1
100907,0.0000,1
100908,0.0000,1
100909,0.0000,1
100910,0.0000,1
100911,0.0000,1
100912,300.0000,1
100913,0.0000,0
100914,0.0000,1
100915,0.0000,1
100916,0.0000,1
100917,0.0000,1
100918,100.0000,1
100919,0.0000,1
100920,38.0000,1
