sku,qty,is_in_stock
458559,0.0000,1
458560,0.0000,1
458561,0.0000,1
458562,0.0000,1
458563,0.0000,1
458564,0.0000,1
458571,0.0000,1
458572,0.0000,1
458573,0.0000,1
458574,0.0000,1
458575,0.0000,1
458576,0.0000,1
458577,0.0000,1
458578,0.0000,1
458579,0.0000,1
458580,0.0000,1
458581,0.0000,1
458582,0.0000,1
458583,0.0000,1
458584,0.0000,1
458585,0.0000,1
458586,0.0000,1
458587,0.0000,1
458588,0.0000,1
458590,0.0000,1
458591,0.0000,1
458592,0.0000,1
458593,0.0000,1
458594,0.0000,1
458595,0.0000,1
458596,0.0000,1
458597,0.0000,1
458598,0.0000,1
458599,0.0000,1
458600,0.0000,1
458601,0.0000,1
458602,0.0000,1
458603,0.0000,1
458604,0.0000,1
458605,0.0000,1
458606,0.0000,1
458609,0.0000,1
458610,0.0000,1
458611,0.0000,1
458612,0.0000,1
458618,0.0000,1
458623,0.0000,1
458624,0.0000,1
458625,0.0000,1
458626,0.0000,1
458627,0.0000,1
458628,0.0000,1
458629,0.0000,1
458630,0.0000,1
458631,0.0000,1
458632,0.0000,1
458633,0.0000,1
458634,0.0000,1
458635,0.0000,1
458636,0.0000,1
458637,0.0000,1
458638,0.0000,1
458639,0.0000,1
458640,0.0000,1
458641,0.0000,1
458642,0.0000,1
458643,0.0000,1
458644,0.0000,1
458646,0.0000,1
458647,0.0000,1
458648,0.0000,1
458649,0.0000,1
458650,0.0000,1
458651,0.0000,1
458652,0.0000,1
458653,0.0000,1
458654,0.0000,1
458655,0.0000,1
458656,0.0000,1
458657,0.0000,1
458658,0.0000,1
458659,0.0000,1
458660,0.0000,1
458661,0.0000,1
458662,0.0000,1
458664,0.0000,1
458665,0.0000,1
458668,0.0000,1
458669,0.0000,1
458670,0.0000,1
458671,0.0000,1
458673,0.0000,1
458674,0.0000,1
458675,0.0000,1
458676,0.0000,1
458677,0.0000,1
458678,0.0000,1
458679,0.0000,1
458680,0.0000,1
458681,0.0000,1
458682,0.0000,1
458683,0.0000,1
458684,0.0000,1
458686,0.0000,1
458687,0.0000,1
458688,0.0000,1
458690,0.0000,1
458691,0.0000,1
458692,0.0000,1
458693,0.0000,1
458694,0.0000,1
458695,0.0000,1
458696,0.0000,1
458697,0.0000,1
458698,0.0000,1
458699,0.0000,1
458700,0.0000,1
458701,0.0000,1
458702,0.0000,1
458704,0.0000,1
458705,0.0000,1
458706,0.0000,1
458707,0.0000,1
458708,0.0000,1
458709,0.0000,1
458710,0.0000,1
458711,0.0000,1
458712,0.0000,1
458713,0.0000,1
458714,0.0000,1
458715,0.0000,1
458716,0.0000,1
458717,0.0000,1
458718,0.0000,1
458719,0.0000,1
458720,0.0000,1
458721,0.0000,1
458722,0.0000,1
458723,0.0000,1
458724,0.0000,1
458725,0.0000,1
458726,0.0000,1
458727,0.0000,1
458728,0.0000,1
458729,0.0000,1
458730,0.0000,1
458731,0.0000,1
458732,0.0000,1
458733,0.0000,1
458734,0.0000,1
458735,0.0000,1
458736,0.0000,1
458737,0.0000,1
458738,0.0000,1
458739,0.0000,1
458740,0.0000,1
458741,0.0000,1
458742,0.0000,1
458743,0.0000,1
458744,0.0000,1
458745,0.0000,1
458746,0.0000,1
458747,0.0000,1
458748,0.0000,1
458749,0.0000,1
458750,0.0000,1
458751,0.0000,1
458752,0.0000,1
458753,0.0000,1
458754,0.0000,1
458755,0.0000,1
458756,0.0000,1
458757,0.0000,1
458758,0.0000,1
458759,0.0000,1
458760,0.0000,1
458761,0.0000,1
458762,0.0000,1
458763,0.0000,1
458764,0.0000,1
458765,0.0000,1
458766,0.0000,1
458767,0.0000,1
458768,0.0000,1
458769,0.0000,1
458770,0.0000,1
458772,0.0000,1
458773,0.0000,1
458774,0.0000,1
458775,0.0000,1
458776,0.0000,1
458777,0.0000,1
458778,0.0000,1
458779,0.0000,1
458780,0.0000,1
458781,0.0000,1
458782,0.0000,1
458783,0.0000,1
458784,0.0000,1
458785,0.0000,1
458786,0.0000,1
458787,0.0000,1
458788,0.0000,1
458789,0.0000,1
458790,0.0000,1
458791,0.0000,1
458792,0.0000,1
458793,0.0000,1
458794,0.0000,1
458795,0.0000,1
458796,0.0000,1
458797,0.0000,1
458798,0.0000,1
458799,0.0000,1
458800,0.0000,1
458801,0.0000,1
458802,0.0000,1
458803,0.0000,1
458804,0.0000,1
458805,0.0000,1
458806,0.0000,1
458807,0.0000,1
458808,0.0000,1
458809,0.0000,1
458810,0.0000,1
458811,0.0000,1
458812,0.0000,1
458814,0.0000,1
458815,0.0000,1
458816,0.0000,1
458817,0.0000,1
458818,0.0000,1
458819,0.0000,1
458820,0.0000,1
458821,0.0000,1
458822,0.0000,1
458823,0.0000,1
458824,0.0000,1
458825,0.0000,1
458826,0.0000,1
458827,0.0000,1
458828,0.0000,1
458829,0.0000,1
458830,0.0000,1
458832,0.0000,1
458833,0.0000,1
458834,0.0000,1
458835,0.0000,1
458836,0.0000,1
458837,0.0000,1
458838,0.0000,1
458839,0.0000,1
458840,0.0000,1
458841,0.0000,1
458842,0.0000,1
458843,0.0000,1
458844,0.0000,1
458846,0.0000,1
458847,0.0000,1
458849,0.0000,1
458850,0.0000,1
458851,0.0000,1
458852,0.0000,1
458853,0.0000,1
458854,0.0000,1
458855,0.0000,1
458856,0.0000,1
458857,0.0000,1
458859,0.0000,1
458860,0.0000,1
458861,0.0000,1
458862,0.0000,1
458863,0.0000,1
458864,0.0000,1
458865,0.0000,1
458866,0.0000,1
458867,0.0000,1
458868,0.0000,1
458869,0.0000,1
458870,0.0000,1
458871,0.0000,1
458872,0.0000,1
458873,0.0000,1
458874,0.0000,1
458875,0.0000,1
458876,0.0000,1
458877,0.0000,1
458878,0.0000,1
458879,0.0000,1
458880,0.0000,1
458881,0.0000,1
458882,0.0000,1
458883,0.0000,1
458884,0.0000,1
458885,0.0000,1
458886,0.0000,1
458887,0.0000,1
458888,0.0000,1
458890,0.0000,1
458891,0.0000,1
458894,0.0000,1
458895,0.0000,1
458896,0.0000,1
458897,0.0000,1
458898,0.0000,1
458899,0.0000,1
458900,0.0000,1
458901,0.0000,1
458902,0.0000,1
458903,0.0000,1
