"sku","special_from_date"
"103142","19/04/26"
"103301","19/04/26"
"103307","19/04/26"
"103309","19/04/26"
"103313","19/04/26"
"103316","19/04/26"
"103320","19/04/26"
"103326","19/04/26"
"103336","19/04/26"
"103343","19/04/26"
"103348","19/04/26"
"103349","17/08/18"
"103350","19/04/26"
"103370","19/04/26"
"103375","19/04/26"
"103376","18/08/17"
"103377","19/04/26"
"103380","19/04/26"
"103383","19/04/26"
"103396","19/04/26"
"103400","19/04/26"
"103401","18/08/17"
"103402","19/04/26"
"103405","19/04/26"
"103415","19/04/26"
"103418","19/04/26"
"103421","19/04/26"
"103422","19/04/26"
"103441","19/04/26"
"103442","19/04/26"
"103447","19/04/26"
"103449","19/04/26"
"103450","19/04/26"
"103490","19/04/26"
"103493","19/04/26"
"103500","19/04/26"
"103511","19/04/26"
"103518","19/04/26"
"103519","19/04/26"
"103529","19/04/26"
"103530","19/04/26"
"103540","19/04/26"
"103541","19/04/26"
"103548","19/04/26"
"103557","19/04/26"
"103735","19/04/26"
"103756","19/04/26"
"103783","19/11/12"
"103784","20/05/27"
"103792","19/04/26"
"103794","19/04/26"
"103866","19/04/26"
"103879","19/04/26"
"103886","19/04/26"
"104081","19/04/26"
"104101","19/04/26"
"104103","19/04/26"
"104153","19/04/26"
"104171","19/04/26"
"104387","19/04/26"
"104388","19/04/26"
"104389","19/04/26"
"104401","19/04/26"
"104403","19/04/26"
"104405","19/04/26"
"104407","19/04/26"
"104412","19/04/26"
"104414","19/04/26"
"104415","19/04/26"
"104417","19/04/26"
"104418","19/04/26"
"104420","19/04/26"
"104430","19/04/26"
"104434","19/04/26"
"104438","19/04/26"
"104451","19/04/26"
"104472","19/11/13"
"104492","19/04/26"
"104495","19/04/26"
"104498","19/04/26"
"104499","19/04/26"
"104503","19/04/26"
"104505","19/04/26"
"104507","19/04/26"
"104511","19/04/26"
"104515","19/04/26"
"104516","19/04/26"
"104517","19/04/26"
"104518","19/04/26"
"104522","19/04/26"
"104523","19/04/26"
"104525","19/04/26"
"104534","19/04/26"
"104548","19/04/26"
"104561","19/04/26"
"104566","19/04/26"
"104567","19/04/26"
"104577","19/04/26"
"104578","19/04/26"
"104580","19/04/26"
"104596","19/04/26"
"104600","19/04/26"
"104603","19/04/26"
"104610","19/04/26"
"104613","19/04/26"
"104614","19/04/26"
"104618","19/04/26"
"104620","19/04/26"
"104621","19/04/26"
"104654","19/04/26"
"104663","19/04/26"
"104759","19/04/26"
"104772","19/04/26"
"104780","19/04/26"
"104794","19/04/26"
"104795","19/04/26"
"104796","19/04/26"
"104801","19/04/26"
"104902","19/04/26"
"104911","19/04/26"
"104913","19/04/26"
"104975","19/04/26"
"105056","19/04/26"
"105060","19/04/26"
"105063","19/04/26"
"105078","17/05/26"
"105106","19/04/26"
"105107","19/04/26"
"105113","19/04/26"
"105116","19/04/26"
"105117","19/04/26"
"105119","19/04/26"
"105164","19/04/26"
"105170","19/04/26"
"105180","19/04/26"
"105181","19/04/26"
"105182","19/04/26"
"105184","19/04/26"
"105186","19/04/26"
"105192","19/04/26"
"105193","19/04/26"
"105197","19/04/26"
"105198","17/05/24"
"105199","19/04/26"
"105200","17/05/24"
"105202","19/04/26"
"105209","19/04/26"
"105212","19/04/26"
"105213","19/04/26"
"105214","19/04/26"
"105215","19/04/26"
"105216","19/04/26"
"105223","19/04/26"
"105226","19/04/26"
"105227","19/04/26"
"105228","19/04/26"
"105230","19/04/26"
"105237","19/04/26"
"105255","19/04/26"
"105259","19/04/26"
"105261","19/04/26"
"105268","19/04/26"
"105320","18/08/16"
"105323","19/04/26"
"105328","19/04/26"
"105330","19/04/26"
"105331","19/04/26"
"105360","19/04/26"
"105628","19/04/26"
"105632","19/04/26"
"105637","19/04/26"
"105696","19/04/26"
"105775","20/03/31"
"105797","19/04/26"
"105808","19/04/26"
"105809","19/04/26"
"105834","19/04/26"
"105876","19/04/26"
"105877","19/04/26"
"105878","19/04/26"
"105900","19/04/26"
"105989","19/04/26"
"106025","19/04/26"
"106033","19/04/26"
"106058","19/04/26"
"106114","19/04/26"
"106116","19/04/26"
"106117","19/04/26"
"106127","19/04/26"
"106130","19/04/26"
"106134","19/04/26"
"106136","19/04/26"
"106137","19/04/26"
"106144","19/04/26"
"106158","19/04/26"
"106175","19/04/26"
"106186","19/04/26"
"106192","19/04/26"
"106194","19/04/26"
"106195","19/04/26"
"106197","19/04/26"
"106209","19/04/26"
"106211","19/04/26"
"106228","19/04/26"
"106244","19/04/26"
"106247","17/05/26"
"106251","19/04/26"
"106262","19/04/26"
"106401","19/04/26"
"106426","19/04/26"
"106430","19/04/26"
"106440","19/04/26"
"106465","19/04/26"
"106480","19/04/26"
"106485","19/04/26"
"106486","19/04/26"
"106487","19/04/26"
"106494","19/04/26"
"106496","19/04/26"
"106497","19/04/26"
"106498","19/04/26"
"106508","19/04/26"
"106509","19/04/26"
"106511","19/04/26"
"106519","19/04/26"
"106531","19/04/26"
"106538","19/04/26"
"106625","19/04/26"
"106626","19/04/26"
"106627","19/04/26"
"106630","19/04/26"
"106634","19/04/26"
"106635","19/04/26"
"106638","19/04/26"
"106646","19/04/26"
"106649","19/04/26"
"106652","19/04/26"
"106653","19/04/26"
"106655","19/04/26"
"106657","19/04/26"
"106658","19/04/26"
"106662","19/04/26"
"106663","19/04/26"
"106664","19/04/26"
"106669","19/04/26"
"106716","19/04/26"
"106720","19/04/26"
"106725","19/04/26"
"106727","19/04/26"
"106728","19/04/26"
"106753","19/04/26"
"106771","19/04/26"
"106780","19/04/26"
"106784","19/04/26"
"106800","19/04/26"
"106801","19/04/26"
"106802","19/04/26"
"106803","19/04/26"
"106806","19/04/26"
"106814","19/04/26"
"106823","19/04/26"
"106893","19/04/26"
"106897","17/10/10"
"106906","19/04/26"
"106983","19/04/26"
"106985","19/04/26"
"107063","19/10/23"
"107064","20/01/20"
"107177","19/10/23"
"108102","19/04/26"
"108103","19/04/26"
"108104","19/04/26"
"108105","19/04/26"
"108106","19/04/26"
"108108","19/04/26"
"108114","19/04/26"
"108116","19/04/26"
"108117","19/04/26"
"108119","19/04/26"
"108120","19/04/26"
"108130","19/04/26"
"108142","19/04/26"
"108145","19/04/26"
"108147","19/04/26"
"108162","19/04/26"
"108174","19/04/26"
"108243","19/04/26"
"108246","19/04/26"
"108248","19/04/26"
"108251","19/04/26"
"108253","19/04/26"
"108494","19/04/26"
"108496","19/04/26"
"108513","19/04/26"
"108520","19/04/26"
"108568","19/04/26"
"108569","19/04/26"
"108575","19/04/26"
"108696","19/04/26"
"108861","19/04/26"
"108874","19/04/26"
"108921","19/04/26"
"108924","19/04/26"
"108925","19/04/26"
"109022","19/04/26"
"109024","19/04/26"
"109025","19/04/26"
"109026","19/04/26"
"109027","19/04/26"
"109028","19/04/26"
"109030","19/04/26"
"109031","19/04/26"
"109032","19/04/26"
"109034","19/04/26"
"109035","19/04/26"
"109036","19/04/26"
"109042","19/04/26"
"109043","19/04/26"
"109059","19/04/26"
"109062","19/04/26"
"109064","19/04/26"
"109065","19/04/26"
"109067","19/04/26"
"109077","19/04/26"
"109090","19/04/26"
"109092","19/04/26"
"109095","19/04/26"
"109108","19/04/26"
"109109","19/04/26"
"109130","19/04/26"
"109131","19/04/26"
"109132","19/04/26"
"109134","19/04/26"
"109145","19/04/26"
"109185","19/04/26"
"109190","19/04/26"
"109214","19/04/26"
"109217","19/04/26"
"109241","19/04/26"
"109243","19/04/26"
"109246","19/04/26"
"109259","19/04/26"
"109338","19/04/26"
"109340","19/04/26"
"109347","19/04/26"
"109369","19/04/26"
"109372","19/04/26"
"247624","16/06/15"
"247625","19/04/26"
"247658","19/04/26"
"305252","19/04/26"
"120852","19/04/26"
"305170","19/04/26"
"485969","19/04/26"
"119643","19/04/26"
"201518","16/06/16"
"388464","19/04/26"
"484702","17/06/02"
"272170","16/06/27"
"559599","16/06/01"
"272179","16/06/27"
"272180","17/06/01"
"244529","19/08/26"
"219411","17/08/31"
